node,volatility,eign,closeness,betwness,centrality,community,density,name,type
1104,1,3.1361233659220226e-25,0.012295081967213115,1.6865681710854754e-05,3,7,0.8333333333333334,"Stolte, C.",
1141,2,3.1361233659220226e-25,0.012295081967213115,1.6865681710854754e-05,3,7,0.8333333333333334,"Tang, D.",outandin
730,2,2.4486111316855133e-25,0.009221311475409836,0.0,2,9,0.8333333333333334,"Lopez, N.",outandin
837,4,2.4486111316855133e-25,0.009221311475409836,0.0,2,9,0.8333333333333334,"Nocke, T.",outandin
1028,4,3.13612336592202e-25,0.012295081967213115,1.6865681710854754e-05,3,9,0.8333333333333334,"Schumann, H.",outandin
650,2,3.13612336592202e-25,0.012295081967213115,1.6865681710854754e-05,3,9,0.8333333333333334,"Kreuseler, M.",outandin
34,2,2.615767064251886e-12,0.01639344262295082,0.0,4,37,1.0,"Andrews, K.",outandin
418,2,2.615767064251886e-12,0.01639344262295082,0.0,4,37,1.0,"Granitzer, M.",outandin
616,2,2.615767064251886e-12,0.01639344262295082,0.0,4,37,1.0,"Kienreich, W.",outandin
993,2,2.615767064251886e-12,0.01639344262295082,0.0,4,37,1.0,"Sabol, V.",outandin
629,2,2.615767064251886e-12,0.01639344262295082,0.0,4,37,1.0,"Klieber, W.",outandin
153,2,2.615767064251886e-12,0.01639344262295082,0.0,4,6,1.0,"Buscher, M.",outandin
1048,2,2.615767064251886e-12,0.01639344262295082,0.0,4,6,1.0,"Shapiro, D.",outandin
198,2,2.615767064251886e-12,0.01639344262295082,0.0,4,6,1.0,"Christensen, M.",outandin
796,2,2.615767064251886e-12,0.01639344262295082,0.0,4,6,1.0,"Mogensen, P.",outandin
855,2,2.615767064251886e-12,0.01639344262295082,0.0,4,6,1.0,"Orbaek, P.",outandin
989,2,2.4296779891607328e-05,0.020491803278688523,0.0,5,5,1.0,"Russo dos Santos, C.",outandin
429,2,2.4296779891607328e-05,0.020491803278688523,0.0,5,5,1.0,"Gros, P.",outandin
2,2,2.4296779891607328e-05,0.020491803278688523,0.0,5,5,1.0,"Abel, P.",outandin
727,2,2.4296779891607328e-05,0.020491803278688523,0.0,5,5,1.0,"Loisel, D.",outandin
1171,2,2.4296779891607328e-05,0.020491803278688523,0.0,5,5,1.0,"Trichaud, N.",outandin
872,2,2.4296779891607328e-05,0.020491803278688523,0.0,5,5,1.0,"Paris, J.P.",outandin
