Unnamed: 0,node,volatility,eign,closeness,betwness,centrality,community,density,name,type,period,type_ord,is_stable,type_cat
214,636,2,2.505407101193672e-47,0.0040983606557377,0.0,1,9,1.0,"Kobourov, S.G.",outandin,2000-2004,0,0,outandin
215,1213,2,2.505407101193672e-47,0.0040983606557377,0.0,1,9,1.0,"Wampler, K.",outandin,2000-2004,0,0,outandin
32,493,2,3.945113722029823e-16,0.0147540983606557,0.0,2,10,0.5238095238095238,"Herman, I.",outandin,2000-2004,0,0,outandin
33,756,2,3.945113722029823e-16,0.0147540983606557,0.0,2,10,0.5238095238095238,"Marshall, M.S.",outandin,2000-2004,0,0,outandin
207,193,4,5.184080062760129e-16,0.0147540983606557,0.0,2,10,0.5238095238095238,"Chiricota, Y.",outandin,2000-2004,0,0,outandin
199,49,2,7.2125376565384445e-16,0.0163934426229508,0.0,3,10,0.5238095238095238,"Auber, D.",incoming,2000-2004,1,0,incoming
200,192,2,7.2125376565384445e-16,0.0163934426229508,0.0,3,10,0.5238095238095238,"Chircota, Y.",outandin,2000-2004,0,0,outandin
201,581,2,8.350476405040678e-16,0.0184426229508196,3.373136342170951e-05,4,10,0.5238095238095238,"Jourdan, F.",outandin,2000-2004,0,0,outandin
31,782,2,1.0082431821313858e-15,0.0245901639344262,0.0003035822707953,6,10,0.5238095238095238,"Melancon, G.",outandin,2000-2004,0,0,outandin
35,1310,4,4.4514770162865134e-14,0.0174863387978142,0.0,1,11,0.3888888888888889,"Zhang, E.",outandin,2000-2004,0,0,outandin
208,29,2,4.4514770162865134e-14,0.0174863387978142,0.0,1,11,0.3888888888888889,"Amar, R.",incoming,2000-2004,1,0,incoming
61,300,3,9.342969795662389e-14,0.0201765447667087,0.0,3,11,0.3888888888888889,"Eagan, J.",incoming,2000-2004,1,0,incoming
62,471,2,9.342969795662389e-14,0.0201765447667087,0.0,3,11,0.3888888888888889,"Harrold, M.J.",outandin,2000-2004,0,0,outandin
63,576,2,9.342969795662389e-14,0.0201765447667087,0.0,3,11,0.3888888888888889,"Jones, J.A.",outandin,2000-2004,0,0,outandin
157,232,2,9.342969795662389e-14,0.0201765447667087,0.0,3,11,0.3888888888888889,"Csallner, C.",outandin,2000-2004,0,0,outandin
158,460,2,9.342969795662389e-14,0.0201765447667087,0.0,3,11,0.3888888888888889,"Handte, M.",outandin,2000-2004,0,0,outandin
159,686,2,9.342969795662389e-14,0.0201765447667087,0.0,3,11,0.3888888888888889,"Lehmann, O.",outandin,2000-2004,0,0,outandin
34,1097,0,1.7005040050189698e-13,0.0327868852459016,0.0007420899952776,8,11,0.3888888888888889,"Stasko, J.",stable,2000-2004,2,1,stable
36,370,2,7.753859413193912e-21,0.0122950819672131,0.0,3,12,1.0,"Fujishiro, I.",outandin,2000-2004,0,0,outandin
37,535,2,7.753859413193912e-21,0.0122950819672131,0.0,3,12,1.0,"Ichikawa, Y.",outandin,2000-2004,0,0,outandin
38,372,2,7.753859413193912e-21,0.0122950819672131,0.0,3,12,1.0,"Furuhata, R.",outandin,2000-2004,0,0,outandin
39,1133,2,7.753859413193912e-21,0.0122950819672131,0.0,3,12,1.0,"Takeshima, Y.",outandin,2000-2004,0,0,outandin
40,103,1,2.505407101193672e-47,0.0040983606557377,0.0,1,13,1.0,"Bjork, S.",outgoing,2000-2004,1,0,outgoing
41,938,1,2.505407101193672e-47,0.0040983606557377,0.0,1,13,1.0,"Redstrom, J.",outgoing,2000-2004,1,0,outgoing
42,1297,2,2.505407101193672e-47,0.0040983606557377,0.0,1,14,1.0,"Yang-Pelaez, J.",outandin,2000-2004,0,0,outandin
43,345,2,2.505407101193672e-47,0.0040983606557377,0.0,1,14,1.0,"Flowers, W.C.",outandin,2000-2004,0,0,outandin
57,1140,2,5.0776167573078064e-05,0.023087431693989,0.0,2,15,0.3406593406593406,"Tanasse, T.",outandin,2000-2004,0,0,outandin
114,1023,2,2.04661616406803e-05,0.0182269197584124,0.0,2,15,0.3406593406593406,"Schulman, R.",outandin,2000-2004,0,0,outandin
